epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step,valid_loss,valid_r2
0,49,,,,,0.44830775260925293,,
0,66,,,,,,0.6797972917556763,0.3548392057418823
0,66,,,0.5701040029525757,0.404399573802948,,,
1,99,,,,,0.5934017896652222,,
1,133,,,,,,0.6591400504112244,0.3744439482688904
1,133,,,0.4702398180961609,0.506553053855896,,,
2,149,,,,,0.5714243650436401,,
2,199,,,,,0.38793158531188965,,
2,200,,,,,,0.6514659523963928,0.38172703981399536
2,200,,,0.4556758999824524,0.5250887274742126,,,
3,249,,,,,0.05622506141662598,,
3,267,,,,,,0.6468919515609741,0.3860679268836975
3,267,,,0.4523255228996277,0.5240670442581177,,,
4,299,,,,,0.48673152923583984,,
4,334,,,,,,0.6412839889526367,0.39139020442962646
4,334,,,0.45477184653282166,0.5211023092269897,,,
5,349,,,,,0.5223705768585205,,
5,399,,,,,0.6736923456192017,,
5,401,,,,,,0.637768030166626,0.39472705125808716
5,401,,,0.444113552570343,0.5326260328292847,,,
6,449,,,,,0.6422526836395264,,
6,468,,,,,,0.6445966958999634,0.3882462978363037
6,468,,,0.444776326417923,0.5346750020980835,,,
7,499,,,,,0.4966791272163391,,
7,535,,,,,,0.6451682448387146,0.38770389556884766
7,535,,,0.44244182109832764,0.5372889041900635,,,
8,549,,,,,0.7035976648330688,,
8,599,,,,,0.6681298017501831,,
8,602,,,,,,0.6455926895141602,0.3873010277748108
8,602,,,0.44134244322776794,0.5337553024291992,,,
9,649,,,,,0.5131220817565918,,
9,669,,,,,,0.6312041878700256,0.400956392288208
9,669,,,0.44268685579299927,0.5324162840843201,,,
10,699,,,,,0.6516620516777039,,
10,736,,,,,,0.6312317848205566,0.4009302258491516
10,736,,,0.44096994400024414,0.5333454012870789,,,
11,749,,,,,0.3602411150932312,,
11,799,,,,,0.590119481086731,,
11,803,,,,,,0.642248272895813,0.3904750347137451
11,803,,,0.43539923429489136,0.541557788848877,,,
12,849,,,,,0.6978012919425964,,
12,870,,,,,,0.6349287033081055,0.397421658039093
12,870,,,0.4399726092815399,0.5406448841094971,,,
13,899,,,,,0.6363875865936279,,
13,937,,,,,,0.6297500729560852,0.4023364782333374
13,937,,,0.4376997947692871,0.531965434551239,,,
14,949,,,,,0.39373791217803955,,
14,999,,,,,0.589788556098938,,
14,1004,,,,,,0.6245864629745483,0.4072369337081909
14,1004,,,0.4348587393760681,0.5394041538238525,,,
15,1049,,,,,0.4286118745803833,,
15,1071,,,,,,0.6315934062004089,0.4005870819091797
15,1071,,,0.43006354570388794,0.5486418008804321,,,
16,1099,,,,,0.6024006009101868,,
16,1138,,,,,,0.6331153512001038,0.39914262294769287
16,1138,,,0.43172401189804077,0.5420320630073547,,,
17,1149,,,,,0.4038761854171753,,
17,1199,,,,,0.511146068572998,,
17,1205,,,,,,0.6341198086738586,0.39818936586380005
